"Second","Throughput"
"1","2244"
"2","2242"
"3","2084"
"4","2226"
"5","2202"
"6","2623"
"7","2357"
"8","2440"
"9","2411"
"10","2362"
"11","2379"
"12","2525"
"13","2349"
"14","2479"
"15","2440"
"16","2628"
"17","2594"
"18","2438"
"19","2474"
"20","2412"
"21","2537"
"22","2392"
"23","2419"
"24","2296"
"25","2650"
"26","2531"
"27","2541"
"28","2403"
"29","2638"
"30","2482"
"31","2383"
"32","2364"
"33","2521"
"34","2492"
"35","2609"
"36","2515"
"37","2250"
"38","2599"
"39","2544"
"40","2508"
"41","2400"
"42","2370"
"43","2323"
"44","2473"
"45","2459"
"46","2418"
"47","2345"
"48","2438"
"49","2266"
"50","2437"
"51","2425"
"52","2328"
"53","2374"
"54","2090"
"55","2313"
"56","2432"
"57","2317"
"58","2355"
"59","2411"
"60","2384"
"61","2314"
"62","2410"
"63","2460"
"64","2430"
"65","2359"
"66","2292"
"67","2326"
"68","2340"
"69","2449"
"70","2213"
"71","2328"
"72","2513"
"73","2230"
"74","2290"
"75","2303"
"76","2488"
"77","2413"
"78","2285"
"79","2344"
"80","2539"
"81","2385"
"82","2491"
"83","2177"
"84","2371"
"85","2421"
"86","2427"
"87","2265"
"88","2387"
"89","2464"
"90","2423"
"91","2101"
"92","2395"
"93","2204"
"94","2326"
"95","2370"
"96","2375"
"97","2470"
"98","2394"
"99","2185"
"100","2361"
"101","2343"
"102","2388"
"103","2352"
"104","2379"
"105","2568"
"106","2542"
"107","2323"
"108","2220"
"109","2296"
"110","2310"
"111","2376"
"112","2245"
"113","2222"
"114","2275"
"115","2368"
"116","2265"
"117","2185"
"118","2375"
"119","2273"
"120","2041"
"121","2249"
"122","2256"
"123","2158"
"124","2140"
"125","2103"
"126","2341"
"127","2238"
"128","2250"
"129","2342"
"130","2209"
"131","2209"
"132","2437"
"133","2381"
"134","2175"
"135","2243"
"136","2305"
"137","2388"
"138","2071"
"139","2251"
"140","2323"
"141","2114"
"142","2090"
"143","2157"
"144","2244"
"145","2196"
"146","2107"
"147","2554"
"148","2151"
"149","2340"
"150","2295"
"151","2277"
"152","2462"
"153","2075"
"154","2318"
"155","2407"
"156","2160"
"157","2166"
"158","2391"
"159","2455"
"160","2209"
"161","2318"
"162","2222"
"163","2215"
"164","2202"
"165","2351"
"166","2106"
"167","2262"
"168","2241"
"169","2450"
"170","2474"
"171","2206"
"172","2408"
"173","2361"
"174","1919"
"175","2176"
"176","2258"
"177","2163"
"178","2267"
"179","2324"
"180","2270"
"181","2095"
"182","2344"
"183","2148"
"184","2240"
"185","2490"
"186","2384"
"187","2179"
"188","2396"
"189","2486"
"190","2452"
"191","2204"
"192","2401"
"193","2471"
"194","2262"
"195","2418"
"196","2182"
"197","2154"
"198","2423"
"199","2294"
"200","2239"
"201","2244"
"202","2234"
"203","2338"
"204","2328"
"205","2529"
"206","2311"
"207","2426"
"208","1824"
"209","2053"
"210","2322"
"211","2288"
"212","2493"
"213","2163"
"214","2399"
